text_id,uid,text_date
254,64,6/8/2020
255,26,6/8/2020
256,78,6/8/2020
257,63,6/8/2020
258,76,6/8/2020
259,72,6/12/2020
260,9,6/12/2020
261,57,6/12/2020
262,87,6/12/2020
263,63,6/12/2020
264,97,6/12/2020
265,42,6/12/2020
266,79,6/12/2020
267,86,6/12/2020
268,77,6/12/2020
269,102,6/12/2020
270,2,6/12/2020
271,86,6/12/2020
272,87,6/12/2020
273,79,6/12/2020
274,27,6/12/2020
275,2,6/12/2020
276,73,6/12/2020
277,76,6/12/2020
278,4,6/12/2020
279,70,6/12/2020
280,6,6/12/2020
281,88,6/12/2020
282,83,6/12/2020
283,4,6/12/2020
284,6,6/12/2020
285,47,6/12/2020
286,64,6/12/2020
287,1,6/12/2020
288,105,6/12/2020
289,74,6/12/2020
290,77,6/12/2020
291,13,6/12/2020
292,72,6/12/2020
293,75,6/12/2020
294,13,6/12/2020
295,98,6/12/2020
296,12,6/12/2020
297,7,6/12/2020
298,75,6/12/2020
299,77,6/12/2020
300,28,6/12/2020
301,62,6/12/2020
302,63,6/12/2020
303,6,6/12/2020
304,42,6/12/2020
305,10,6/12/2020
306,93,6/12/2020
307,88,6/12/2020
308,12,6/12/2020
309,4,6/12/2020
310,10,6/12/2020
311,28,6/12/2020
312,13,6/12/2020
313,64,6/12/2020
314,93,6/12/2020
315,7,6/12/2020
316,97,6/12/2020
317,66,6/12/2020
318,73,6/12/2020
319,67,6/12/2020
320,11,6/12/2020
321,10,6/12/2020
322,76,6/12/2020
323,95,6/12/2020
324,68,6/12/2020
325,26,6/12/2020
326,10,6/12/2020
327,29,6/12/2020
328,90,6/12/2020
329,78,6/12/2020
330,7,6/12/2020
331,50,6/12/2020
332,100,6/12/2020
333,78,6/12/2020
334,97,6/12/2020
335,26,6/12/2020
336,83,6/12/2020
337,44,6/12/2020
338,74,6/12/2020
339,91,6/12/2020
340,100,6/12/2020
341,6,6/12/2020
342,27,6/12/2020
343,11,6/12/2020
344,94,6/12/2020
345,70,6/12/2020
346,102,6/12/2020
347,75,6/12/2020
348,28,6/12/2020
349,65,6/12/2020
350,4,6/12/2020
351,73,6/12/2020
352,68,6/12/2020
353,102,6/12/2020
354,47,6/12/2020
355,46,6/12/2020
356,88,6/12/2020
357,79,6/12/2020
358,72,6/12/2020
359,95,6/12/2020
360,105,6/12/2020
361,50,6/12/2020
362,61,6/12/2020
363,72,6/12/2020
364,86,6/12/2020
365,66,6/12/2020
366,16,6/12/2020
367,3,6/12/2020
368,60,6/12/2020
369,26,6/12/2020
370,2,6/12/2020
371,16,6/12/2020
372,81,6/12/2020
373,1,6/12/2020
374,76,6/12/2020
375,100,6/12/2020
376,63,6/12/2020
377,11,6/12/2020
378,27,6/12/2020
379,30,6/12/2020
380,68,6/12/2020
381,9,6/12/2020
382,10,6/12/2020
383,27,6/12/2020
384,91,6/12/2020
385,50,6/12/2020
386,30,6/12/2020
387,46,6/12/2020
388,60,6/12/2020
389,62,6/12/2020
390,67,6/12/2020
391,9,6/12/2020
